split,images,mean_iou,mean_precision,mean_recall,mean_f1,mean_boundary_error_px
tuning,6,0.7098,0.8063,0.8650,0.8279,70.1647
held out,6,0.5974,0.7607,0.7717,0.7332,136.6275
