hough_threshold,min_line_length,boundaries_found,boundaries_possible,mean_boundary_error_px
25,25,6,12,301.2687
25,40,5,12,314.1151
25,70,5,12,317.4470
40,25,5,12,357.4560
40,40,5,12,358.9357
40,70,5,12,368.1059
60,25,2,12,486.0623
60,40,2,12,486.0623
60,70,2,12,481.4943
90,25,1,12,557.4689
90,40,1,12,557.4689
90,70,1,12,557.4689
