configuration,templates_in_bank,best_threshold,f1_overall,recall_rotated_images,recall_viewpoint_images,seconds_per_image
11 scales without rotation,11,0.6,0.6875,0.0,0.0,1.14
11 scales with 8 angles,88,0.625,0.6667,0.3333,0.0,9.944
